ID,Gene Symbol,RefSeq Transcript ID,Chromosome,DS_Cerebellum_1218,DS_Cerebellum_1389,DS_Cerebellum_1478,DS_Cerebrum_1218,DS_Cerebrum_1389,DS_Cerebrum_1478,DS_Cerebrum_847,Normal-Cerebellum-1390,Normal-Cerebellum-1411,Normal-Cerebellum-1521,Normal-Cerebrum-1390,Normal-Cerebrum-1411,Normal-Cerebrum-1521,Normal-Cerebrum-1565,,,,,,,,,,,,,,
208281_x_at,DAZ1 /// DAZ3 /// DAZ2 /// DAZ4,NM_001005375 /// NM_001005785 /// NM_001005786 /// NM_004081 /// NM_020363 /// NM_020364 /// NM_020420,Y,49.73328662,72.26123054,50.27989836,45.63946239,47.74971558,46.87381135,51.02704235,49.07273922,48.12684395,47.68256242,74.73800462,64.1843611,51.81507905,51.08507534,,,,,,,,,,,,,,
208220_x_at,AMELY,NM_001143,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208067_x_at,UTY,NM_007125 /// NM_182659 /// NM_182660,Y,97.46417236,150.9764962,86.58648581,91.02368749,112.1557695,103.6380363,102.3196883,108.735552,103.6380363,97.34264149,132.3615099,145.3170496,103.6380363,103.6380363,,,,,,,,,,,,,,
207918_s_at,TSPY1 /// TSPY2,NM_003308 /// NM_022573,Y,14.25780426,15.9690881,15.21075725,14.13891942,14.06190344,14.36464065,13.57697239,14.81328735,15.84592655,15.358335,16.49858096,18.20774112,14.50411227,14.57930429,,,,,,,,,,,,,,
207912_s_at,DAZ1 /// DAZ3 /// DAZ2 /// DAZ4,NM_001005375 /// NM_001005785 /// NM_001005786 /// NM_004081 /// NM_020363 /// NM_020364 /// NM_020420,Y,11.07289108,10.62168008,11.35133495,10.15733481,11.4139788,10.73209684,11.18047764,10.48939875,10.82818769,11.46893875,11.65340802,11.32288681,11.64727008,11.83805426,,,,,,,,,,,,,,
207909_x_at,DAZ1 /// DAZ3 /// DAZ2 /// DAZ4,NM_001005375 /// NM_001005785 /// NM_001005786 /// NM_004081 /// NM_020363 /// NM_020364 /// NM_020420,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207893_at,SRY,NM_003140,Y,26.73151933,33.72437575,28.07355888,27.79339101,25.70914673,23.87716999,27.87209959,28.07355888,28.38230851,27.49619109,29.40826947,29.31587108,28.71594314,30.32319635,,,,,,,,,,,,,,
207703_at,NLGN4Y,NM_014893,Y,13.60382032,19.06084419,15.14437449,15.16895638,17.35103761,14.21330335,14.36533859,13.75438815,24.82513976,13.69568979,16.65576854,18.7306649,14.46094547,14.34334842,,,,,,,,,,,,,,
207246_at,ZFY,NM_003411,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207063_at,CYorf14,NR_001544,Y,21.70582076,28.50988344,20.32227171,21.70582076,23.44762904,17.00880768,20.5745662,21.03776966,23.36278234,20.16847577,24.21484403,26.04924805,22.40827994,21.30130525,,,,,,,,,,,,,,
206769_at,TMSB4Y,NM_004202,Y,67.45998813,66.99864746,69.11178667,64.80171418,69.74075017,69.74075017,58.29176054,70.23557264,71.81633951,67.48523278,81.32910244,109.7319728,66.60460181,64.73212115,,,,,,,,,,,,,,
206624_at,USP9Y,NM_004654,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206279_at,PRKY,NM_002760,Y,27.8831196,31.16035752,25.70772771,29.01767482,32.05372122,24.82565669,26.57835884,28.28587785,29.16446873,27.25804146,29.36712448,38.38843776,26.93219301,28.6616577,,,,,,,,,,,,,,
205001_s_at,DDX3Y,NM_004660,Y,25.95301423,33.31246193,25.32166051,25.96560971,32.86203927,23.0972664,23.81419735,25.09364308,34.89818519,26.85613865,29.51753003,34.61582742,25.98775241,27.61709928,,,,,,,,,,,,,,
205000_at,DDX3Y,NM_004660,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204410_at,EIF1AY,NM_004681,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204409_s_at,EIF1AY,NM_004681,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201909_at,RPS4Y1,NM_001008,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64883_at,MOSPD2,NM_152581,X,90.71568811,107.5907436,93.38054763,83.86167757,82.62518945,82.42956026,84.00829427,92.41914874,80.62637481,85.45422546,99.08604553,85.88711537,77.84539778,79.17154159,,,,,,,,,,,,,,
59433_at,LOC286434,---,X,57.61810007,58.16179899,58.5866455,66.19223976,51.91537926,54.79529042,55.13856568,55.81728168,53.01871482,58.9871966,77.50620299,61.95162259,63.07472377,52.24351363,,,,,,,,,,,,,,
38964_r_at,WAS,NM_000377,X,380.1170959,434.7070862,420.5607233,338.3799208,323.4749333,346.3987196,344.3114488,367.2834416,369.3231609,383.8876578,373.6413445,432.1534007,376.2741112,351.4341075,,,,,,,,,,,,,,
38043_at,FAM3A,NM_021806,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37278_at,TAZ,NM_000116 /// NM_181311 /// NM_181312 /// NM_181313 /// NM_181314,X,177.8848839,188.9944514,195.5305093,192.2833476,189.2933381,173.7260167,178.8864302,191.2836583,182.9023462,186.2233561,216.9456634,217.3219361,208.412789,188.2791968,,,,,,,,,,,,,,
36920_at,MTM1,NM_000252,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36554_at,ASMTL,NM_004192,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36553_at,ASMTL,NM_004192,X,91.18532711,84.84865117,87.06674206,75.87275933,103.7099267,104.9188433,91.45625126,64.3625732,103.4313811,88.26563362,72.27876327,74.91277968,84.29644601,83.35690907,,,,,,,,,,,,,,
36004_at,IKBKG,NM_003639,X,300.852004,358.5151782,309.8057085,320.7976052,316.1531095,289.4839503,316.6992505,295.802487,295.2227042,349.9099784,384.8440141,398.4403189,363.2199681,325.3412485,,,,,,,,,,,,,,
32042_at,COVA1,NM_006375 /// NM_182314,X,13.24063218,13.39683177,13.21321918,13.60664879,13.11949219,13.22073074,12.88303056,12.56535967,13.92185866,14.52715314,13.53525408,13.34900307,13.90392235,12.54464665,,,,,,,,,,,,,,
31845_at,ELF4,NM_001421,X,17.60679111,18.34925973,18.60450166,17.19181661,16.7025885,17.194675,15.68300261,18.85022449,16.15523514,16.14270262,19.77903448,19.37024353,17.34959249,17.32087568,,,,,,,,,,,,,,
222321_at,AGTR2,NM_000686,X,78.56635837,84.18841259,85.57395163,70.55029339,71.06908533,64.57616749,66.89376574,62.09003192,76.29306182,80.89450379,86.31803276,93.94666643,71.48753532,77.394004,,,,,,,,,,,,,,
222269_at,CXorf33,NM_198450,X,23.53164055,25.10425323,24.59545507,25.39495568,22.39446396,22.2618261,23.45461272,24.8287585,22.76649168,24.8287585,24.8287585,26.80704357,27.8817649,23.95790556,,,,,,,,,,,,,,
222257_s_at,ACE2,NM_021804,X,28.72450543,42.4870082,32.31316155,25.23650439,25.72251653,30.59745868,26.23789602,30.31541998,32.07861699,36.48495996,27.13023902,35.37897175,28.95358276,28.52747226,,,,,,,,,,,,,,
222247_at,DXS542,---,X,27.82654548,29.50586405,29.94244171,29.27383941,25.83723934,31.73186042,29.93953228,28.01427419,28.75477867,30.96249442,33.97307552,29.97504872,29.89577641,29.33091293,,,,,,,,,,,,,,
222196_at,LOC286434,---,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222138_s_at,WDR13,NM_017883,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222122_s_at,THOC2,NM_020449,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222109_at,GNL3L,NM_019067,X,64.74917533,77.20486574,63.59184507,56.4401442,65.21672914,54.40773699,56.08487281,75.13483435,66.534458,67.19910891,78.37653104,76.31951826,69.28734994,63.47647547,,,,,,,,,,,,,,
222031_at,LOC286434 /// LOC389906 /// LOC389908,XM_372273 /// XM_374341,X,14.73433407,13.85975635,14.49566793,13.75238575,13.45685983,15.16632947,14.6558016,13.53225259,12.9412055,13.21211869,14.21290874,13.26469945,13.03428991,15.00311417,,,,,,,,,,,,,,
222026_at,RBM3,NM_001017430 /// NM_001017431 /// NM_006743,X,33.56020933,35.83928105,39.30143867,36.31566045,38.0314288,41.70273403,32.87206597,33.12273392,38.86151123,38.72840156,40.62962125,43.57232394,42.4870082,38.94780594,,,,,,,,,,,,,,
221989_at,RPL10,NM_006013,X,95.56498116,78.16711132,100.8124478,133.3172924,145.5428214,108.0136783,83.33611067,129.7436217,97.36355653,91.18975756,137.7730741,110.8911346,106.3429207,132.6287728,,,,,,,,,,,,,,
221982_x_at,XX-FW81657B9.4,NM_006014,X,126.5303606,141.3247123,133.8172059,140.6465215,120.7960941,134.2436326,128.4728833,124.8057054,129.8858126,139.1223282,112.7723678,150.6680773,172.3180245,136.0091759,,,,,,,,,,,,,,
221957_at,PDK3,NM_005391,X,81.36521132,90.05847994,87.83657625,68.94480291,59.91519426,74.85412134,76.35019802,88.45794974,74.55846213,82.95574331,91.70509331,91.16510647,74.64481166,78.71898831,,,,,,,,,,,,,,
221933_at,NLGN4X,NM_020742 /// NM_181332,X,213.7380335,144.7490556,227.278913,198.1858464,184.0533426,285.2473662,349.2654677,204.8295251,201.3539833,232.8795323,139.5066277,143.5798985,202.8373895,265.0003516,,,,,,,,,,,,,,
221914_at,SYN1,NM_006950 /// NM_133499,X,387.5718576,333.1851656,408.7655746,300.156352,191.1842979,356.0855152,555.8725698,310.7843179,284.8047849,242.9692898,206.4573724,169.2908149,287.38872,297.3772112,,,,,,,,,,,,,,
221895_at,MOSPD2,NM_152581,X,52.15812693,56.02969654,55.42827048,46.04907371,45.82173153,51.58858971,51.27273643,56.66318794,53.93425531,60.35117297,65.85175994,68.17826255,56.10003819,56.59724681,,,,,,,,,,,,,,
221808_at,RAB9A,NM_004251,X,94.69654641,97.52159408,99.33637283,74.8702045,79.51360921,82.87413151,104.3755391,90.22717271,102.2693449,92.59804761,48.38439372,83.47140689,61.94732275,69.14484798,,,,,,,,,,,,,,
221746_at,UBL4A,NM_014235,X,129.85701,164.2215823,180.5243804,192.7877941,211.7649172,249.2500701,156.7302675,164.6877873,163.0420304,167.2091479,221.1466908,180.9817067,220.9199994,217.2089786,,,,,,,,,,,,,,
221728_x_at,XIST,NR_001564,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221684_s_at,NYX,NM_022567,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221641_s_at,ACOT9,NM_001033583,X,74.15695542,82.79777204,76.52451919,77.69284387,81.32574242,65.42409701,90.39743633,78.55547869,75.35597811,78.40806363,95.96392121,62.97904452,72.42269703,66.22068694,,,,,,,,,,,,,,
221620_s_at,MGC4825,NM_024122,X,255.5532123,258.4460887,300.5997384,237.636078,192.5460651,266.1803217,280.6951223,253.2204426,284.5029656,254.8032519,213.3547083,212.1910379,215.6608096,233.0829784,,,,,,,,,,,,,,
221618_s_at,TAF9L,NM_015975,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221606_s_at,NSBP1,NM_030763,X,20.47086587,31.01770308,25.25435237,19.97993341,22.30228736,18.1413516,28.05857757,19.9103985,24.02742002,22.22467011,15.91108208,19.25164841,16.04931514,18.04253102,,,,,,,,,,,,,,
221553_at,DKFZp564K142,NM_032121,X,14.74087345,14.61350188,15.61791641,14.94571452,15.66562154,13.26469945,14.91859724,24.32638812,14.24565363,14.46976893,15.61066289,13.56286449,14.02889929,14.02355175,,,,,,,,,,,,,,
221514_at,UTP14A,NM_006649,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221466_at,P2RY4,NM_002565,X,71.81683798,82.57596574,88.81982302,69.83991511,69.82055085,75.63227343,76.6019795,87.10116634,78.33796817,85.87760616,103.0813974,98.15705981,87.41506499,79.27696266,,,,,,,,,,,,,,
221429_x_at,TEX13A,NM_031274,X,32.47235469,48.36730136,37.94899566,37.87332501,28.53004645,33.96719217,32.04794782,36.68783489,36.93764045,37.24952352,35.86935764,46.65371432,39.31778329,39.81582227,,,,,,,,,,,,,,
221399_at,EDA2R,NM_021783,X,133.8227789,147.4549223,134.6863749,131.6013066,118.7093851,130.5383455,123.9968975,130.6089504,126.9362099,148.0879028,162.7259047,166.9231165,153.7337227,142.8146325,,,,,,,,,,,,,,
221390_s_at,MTMR8,NM_017677,X,86.55469658,94.52212173,84.90515065,84.86982705,79.25665833,71.17950183,81.67314917,89.90192806,83.22240359,94.67817571,89.15043412,109.0170673,103.4543224,87.02631954,,,,,,,,,,,,,,
221374_at,FGF16,NM_003868,X,72.46136566,67.47588759,59.204708,66.35025414,55.25143483,58.66630485,70.43691839,66.70995619,57.18677995,66.70995619,77.21772769,92.264897,70.1732935,64.92354793,,,,,,,,,,,,,,
221340_at,CDX4,NM_005193,X,34.06882277,30.96227952,33.31292437,30.90181711,31.74835178,32.28137188,31.72701535,32.44827942,32.85884615,36.78765831,35.89945947,42.3596913,36.87496607,32.48226249,,,,,,,,,,,,,,
221334_s_at,FOXP3,NM_014009,X,45.02330205,45.60057558,46.10687009,45.60057558,45.60057558,42.71882386,45.60057558,44.83210109,46.5813278,49.40243143,45.60057558,64.5555742,52.21309726,45.54497938,,,,,,,,,,,,,,
221333_at,FOXP3,NM_014009,X,71.70690222,81.35052923,73.43673747,77.02634701,81.41201806,81.51705451,81.85678274,68.57543034,63.98625191,79.90090201,86.62309651,80.96126717,76.3232012,67.39968006,,,,,,,,,,,,,,
221332_at,BMP15,NM_005448,X,44.20752014,58.5777194,48.52008324,49.03296906,37.41124236,43.43721779,41.80344756,48.34518141,47.05772819,47.15176481,50.43383737,56.31237512,47.68090766,47.64491099,,,,,,,,,,,,,,
221327_s_at,OPN1MW /// OPN1LW,NM_000513 /// NM_020061,X,32.1371435,39.96652394,39.21843041,37.12064702,33.25616944,37.33714995,37.52526125,38.85397227,33.86047001,38.78077797,32.69980088,52.44596847,39.74578138,39.93328903,,,,,,,,,,,,,,
221299_at,GPR173,NM_018969,X,46.62203717,51.71569053,52.91518113,43.61038919,45.16489398,47.69247647,43.40231609,47.08514133,45.90405747,47.00720664,52.4212555,52.78733064,55.45016727,49.92325813,,,,,,,,,,,,,,
221259_s_at,TEX11,NM_001003811 /// NM_031276,X,44.93413407,44.18576912,48.39613321,40.23111375,38.06835248,45.22848646,44.67109879,43.89060071,46.04683641,50.08302406,51.96650387,46.27720733,45.98878088,38.79261057,,,,,,,,,,,,,,
221238_at,NSBP1,NM_030763,X,20.22110613,28.25628505,23.80792497,20.73347343,19.75779302,19.42751908,20.73347343,22.8764294,19.1043572,25.18407655,22.22127667,29.211209,19.24684493,20.95510397,,,,,,,,,,,,,,
221196_x_at,CXorf53,NM_001018055 /// NM_024332,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221143_at,RPA4,NM_013347,X,17.74757445,18.4500164,16.30745902,18.53975358,15.7515303,17.74118178,17.01317069,19.13749198,16.32001157,17.06016641,24.43572412,19.12198233,17.39752327,18.32282427,,,,,,,,,,,,,,
221121_at,CXorf48,NM_001031705 /// NM_017863,X,28.3482951,34.9863391,25.41079915,25.7137867,25.32710112,24.35996351,28.42503299,28.31942324,27.82114726,27.18558618,31.69734235,29.72407342,29.29230616,28.68073361,,,,,,,,,,,,,,
221112_at,IL1RAPL2,NM_017416,X,150.5386567,186.8309844,168.8946792,133.4078742,130.2762423,125.6859887,129.6609274,155.2597581,135.896075,153.6176108,175.8254602,183.8812049,143.2697308,150.5563708,,,,,,,,,,,,,,
221098_x_at,UTP14A,NM_006649,X,11.5620082,10.99343247,11.09286409,11.49870963,10.53267544,12.74942204,11.71471583,11.07680592,11.57170921,11.85414832,12.10792624,13.71345266,12.6594243,11.99939605,,,,,,,,,,,,,,
221034_s_at,TEX13B,NM_031273,X,61.54458934,62.55312355,63.34768336,68.13528091,58.93816417,66.14681527,54.81048753,64.53904029,52.96510203,60.21912775,67.11205562,78.2245651,78.40534257,67.15625624,,,,,,,,,,,,,,
220981_x_at,NXF2,NM_017809 /// NM_022053,X,44.97994475,52.39291752,46.79783505,43.36232559,40.10888651,40.46015461,38.44063392,47.10146923,42.55803949,40.350926,50.76985485,53.3331241,42.26554368,43.42066756,,,,,,,,,,,,,,
220923_s_at,PNMA3,NM_013364,X,76.46247593,68.9280789,76.78327059,68.67341496,60.68549254,79.89812915,84.20711361,69.83315201,85.9895693,82.04253752,75.91274314,101.3217321,94.15528161,77.32591407,,,,,,,,,,,,,,
220922_s_at,SPANXA1 /// SPANXB1 /// SPANXA2 /// SPANXC /// SPANXB2,NM_013453 /// NM_022661 /// NM_032461 /// NM_145662 /// NM_145664,X,135.4156049,131.1814522,140.5393185,116.112523,106.2832205,106.6810564,119.9001949,128.3722862,128.5574967,138.690947,149.8806358,146.899934,139.9715852,129.4992495,,,,,,,,,,,,,,
220921_at,SPANXB1 /// SPANXB2,NM_032461 /// NM_145664,X,16.63615464,16.03541783,16.40859508,16.28058014,14.12628414,16.63615464,16.18976581,15.17642349,16.3385723,16.84735281,17.33793273,18.47330131,17.50226671,16.59227915,,,,,,,,,,,,,,
220886_at,GABRQ,NM_018558,X,62.54315902,63.45138819,63.42060898,64.54797874,65.95590169,63.52621788,55.76469096,60.14362134,52.62987831,64.38755256,64.88036649,88.40586479,67.31379082,65.71224057,,,,,,,,,,,,,,
220873_at,REPS2,NM_004726,X,34.57554365,43.71631663,41.84577603,38.97831394,35.19674501,38.80633218,36.76777157,38.06650293,34.73576653,38.66429883,52.68680858,55.9683772,44.64665527,39.64370907,,,,,,,,,,,,,,
